Country,University Name,University Score,Diversity Score
Sweden,Karolinska Institute,98.414,90.273
Switzerland,ETH Zurich,96.644,99.339
UK,Imperial College London,96.113,94.151
UK,University of Oxford,95.289,95.495
Switzerland,Ecole Polytechnique Federale de Lausanne,94.733,100.000
UK,University of Cambridge,94.554,95.484
UK,University College London,93.124,93.841
Denmark,Technical University of Denmark,91.867,92.229
Italy,Scuola Normale Superiore di Pisa,90.791,70.171
UK,University of Edinburgh,89.438,93.440
Switzerland,University of Lausanne,87.912,73.505
Germany,Ludwig Maximilian University,87.822,78.593
Finland,University of Helsinki,86.987,69.115
Germany,Technische Universitat Dresden (TU Dresden),86.803,69.972
Netherlands,Wageningen University & Research Center,86.169,90.371
Switzerland,University of Bern,85.985,86.547
Switzerland,University of Geneva,85.941,95.072
Germany,Technical University of Münich,85.721,84.871
Sweden,Lund University,85.123,85.259
UK,King’s College London,85.101,95.535
UK,University of Southampton,84.687,91.805
Sweden,Royal Institute of Technology (KTH),84.670,91.886
UK,University of Manchester,84.523,91.101
Netherlands,Utrecht University,84.519,78.928
Germany,Technical University of Munich,84.094,84.871
Switzerland,University of Zurich,84.075,93.333
Netherlands,Delft University of Technology,83.848,95.622
Germany,RWTH Aachen University,83.476,76.130
Netherlands,Twente University,82.960,95.256
Germany,Karlsruher Institut für Technologie,82.783,83.721
France,Sorbonne University,82.554,82.395
Netherlands,Amsterdam Üniversitesi,82.459,89.952
Sweden,Stockholm University,82.234,53.853
Germany,University of Gottingen,82.113,74.454
UK,University of Bristol,82.027,86.302
France,"Ecole Normale Superieure, Lyon",81.929,68.957
Denmark,Aarhus University,81.726,80.526
UK,London School of Economics and Political Science,81.475,93.533
Germany,Karlsruhe Institute of Technology,81.449,83.721
UK,University of Sheffield,81.350,44.618
France,Universite Paris-Sud,81.094,74.407
Sweden,Chalmers University of Technology,80.971,83.103
UK,University of Glasgow,80.918,90.590
Netherlands,Radboud University Nijmegen,80.680,78.986
France,IMT Atlantique,80.267,76.312
UK,Lancaster University,80.168,91.269
UK,Queen Mary University of London,79.961,92.934
Sweden,University of Gothenburg,79.791,74.904
